text,substantive
Прошла 10+ курсов за последний год.,0
Хочу работать в компании с четкими целями.,0
"Разработал модель прогнозирования спроса для ритейла, повысив точность на 22%. Использую Python (TensorFlow, Scikit-learn), SQL. Публикации на NeurIPS.",1
Запустил мобильное приложение с 500K+ пользователей за первый год. Сократил время разработки на 30% через Agile.,1
"Провел 15 экологических экспертиз для строительных проектов, предотвратив штрафы на $2M. Работаю с GIS-системами.",1
Создал 10+ кампаний для Fortune 500 компаний. Увеличил узнаваемость брендов на 35% по данным соцсетей.,1
"Разработал смарт-контракты для DeFi-платформы, снизив комиссии на 18%. Опыт: Solidity, Ethereum, Rust.",1
"Увеличил Retention Rate на 25% через персонализацию контента. Работал с Mixpanel, A/B-тестами.",1
Оптимизировал шумоизоляцию 5 концертных залов. Уровень шума снижен на 40 дБ. Использую COMSOL Multiphysics.,1
"Снизила среднее время ответа с 12 до 3 часов. Внедрила базу знаний, сократившую запросы на 50%.",1
"Внедрил IoT-датчики для мониторинга урожая, повысив yield на 15%. Работаю с FarmLogs, Python.",1
Реализовала 20+ проектов коммерческих помещений. Сократила сроки подбора материалов на 30% через базу поставщиков.,1
"Составил 50+ договоров для стартапов, включая лицензионные соглашения. Снизил юридические риски на 90%.",1
Заключил контракты на $5M за год. Разработал систему холодных звонков с конверсией 8%.,1
"Участвовал в разработке вакцины, ускорив клинические испытания на 6 месяцев. Опыт: CRISPR, клеточные культуры.",1
"Обучил модель для распознавания изображений с точностью 98%. Публикации в IEEE, опыт с PyTorch.",1
"Снизил затраты на доставку на 20% через оптимизацию маршрутов. Работа с 1С, TMS.",1
Разработала курс по Data Science для 1000+ студентов. Уровень трудоустройства выпускников — 85%.,1
"Организовал 10 турниров с призовым фондом $500K. Привлек спонсоров (Red Bull, Intel).",1
"Внедрил систему солнечных панелей, сократив энергозатраты завода на 40%. Опыт: AutoCAD, Revit.",1
"Смонтировал 50+ роликов для YouTube-каналов с 1M+ подписчиков. Работаю в Premiere Pro, DaVinci Resolve.",1
"Лоббировал изменения в законодательстве, снизившие налоги для малого бизнеса на 10%.",1
Умею работать в команде и самостоятельно.,0
Готов к сложным задачам!,0
Подхожу к делу нестандартно.,0
Умею находить подход к клиентам.,0
Знаю все аспекты своей работы.,0
Готова осваивать новые технологии.,0
Стремлюсь к взаимовыгодному сотрудничеству.,0
Знаю базовые программы.,0
Хочу развиваться вместе с коллективом.,0
Ответственно подхожу к работе.,0
Легко налаживаю контакт с коллегами.,0
Готова к частичной удаленке.,0
Не допускаю ошибок в работе.,0
Стремлюсь к карьерному росту.,0
Всегда предлагаю новые идеи.,0
Постоянно совершенствуюсь.,0
Умею ставить цели и достигать их.,0
Освоил несколько программ за месяц.,0
Ценю поддержку коллег.,0
Всегда стремлюсь к лучшему.,0
"Разработал framework для оценки этичности алгоритмов в банковской сфере. Провел 10+ аудитов, предотвратив дискриминацию в 95% кейсов.",1
Запустила 8 курсов на платформе Coursera с аудиторией 200K+ студентов. Сократила срок производства контента на 20% через Agile-методы.,1
Создал 50+ прототипов для аэрокосмической отрасли. Снизил себестоимость деталей на 35% за счет оптимизации материалов.,1
"Разработал алгоритм шифрования для мессенджера с 10M пользователей. Публикации в IEEE, опыт с постквантовой криптографией.",1
"Провел оценку рисков для 20+ компаний, предотвратив убытки на $5M. Работаю с моделями CMIP6, Python.",1
Создала 5 иммерсивных тренажеров для медицины. Увеличила вовлеченность пользователей на 70% через геймификацию.,1
"Участвовал в анализе данных с телескопа James Webb. Публикации в Nature, опыт работы с Python и MATLAB.",1
"Внедрила переработку текстиля на фабрике, сократив отходы на 40%. Работаю с GOTS-сертификацией.",1
"Обучил NLP-модель для банковского чат-бота с точностью 92%. Использую Rasa, Dialogflow.",1
Организовала 10 выставок NFT-художников. Привлекла $1M инвестиций в арт-проекты.,1
"Оптимизировал систему фильтрации, снизив расход воды на заводе на 25%. Опыт: AutoCAD, гидродинамическое моделирование.",1
Обнаружил 50+ уязвимостей в госплатформах. Участвовал в Bug Bounty-программах (HackerOne).,1
Запустила 3 образовательных шоу с аудиторией 100K+. Самостоятельно пишу сценарии и монтирую в Audacity.,1
"Внедрила чат-бота для рекрутинга, сократив время обработки резюме на 50%. Инструменты: HRlink, Python.",1
Разработал проект энергоэффективного квартала с IoT-инфраструктурой. Снижение энергопотребления — 30%.,1
Создал 3 линейки растительного мяса. Увеличил продажи стартапа на 200% за год.,1
Координировал запуск 2 спутников. Сократил бюджет проекта на 15% через партнерства.,1
"Разработал модель распознавания с точностью 98%. Опыт: TensorFlow, компьютерное зрение.",1
"Провела 10 выставок, увеличив посещаемость на 45%. Привлекла спонсоров (Louis Vuitton, BMW).",1
Построил ветропарк мощностью 50 МВт. Сократил сроки реализации на 6 месяцев через BIM-моделирование.,1
Люблю нестандартные решения.,0
Готова к удаленной работе.,0
Ценю поддержку команды.,0
Освоила несколько программ за месяц.,0
Хочу расти в компании.,0
Умею работать в режиме многозадачности.,0
Всегда предлагаю идеи.,0
Соблюдаю дедлайны.,0
Всегда выполняю задачи качественно.,0
Стараюсь понять их потребности.,0
Готова к новым вызовам.,0
Знаю все нюансы работы.,0
Всегда готов к выполнению задач любой сложности.,0
Постоянно улучшаю свои компетенции.,0
Всегда соблюдаю баланс между задачами.,0
Хочу вносить вклад в общее дело.,0
Не боюсь новых условий работы.,0
Умею видеть картину в целом.,0
Уважаю ценности компании.,0
Не перекладываю задачи на других.,0
"Студент с высокой степенью вовлеченности и энергии; Готов принять позицию подопечного, ученика; Владение английским языком на уверенном уровне B2-C1; 
 Владею такими инструментами, как Notion, Obsidian, Apple Notes и пр. Из минусов: Отсутствуют права на управление транспортом категории В",1
я хочу найти работу,0
"Потому что у меня есть все необходимые знания в корпоративных финансах, есть опыт работы в аудите (большая 4ка) и я умею строить фин.модели",1
"Обладаю навыками тайм-менеджмента по системе GTD(getting things done), благодаря чему эффективнее управляю своими задачами и приоритетами. Готов быстро разбираться в новых для себя процессах и инструментах. Осознаю, что принцип хорошего ассистента - это экономия времени и ресурсов мозга руководителя. Из минусов могу отметить что я немножечко перфекционист. Однако понимаю, что порой это играет отнюдь не в мою пользу, и поэтому учусь находить баланс.",1
"Я умею работать за компьютером Я системный и дисциплинированный Занимаюсь спортом, виду правильный образ жизни Общаюсь с старшими и более успешными людьми. Думаю - мы быстро и легко друг друга поймем.",0
"Легко обучаюсь новому и быстро адаптируюсь под обстоятельства. Имею аналитический склад ума, легко обращаюсь с новой информацией",0
"Довольно хороший уровень английского (С1); Развиты софт-скиллы; Была на позиции руководителя в университете, поэтому знаю, как справляться с большим количеством задач; Развиты креативные навыки.",1
"Я уверено работаю с графическими и видео редакторами. Имею большой опыт ведения социальных сетей, а также любительски владею фотографией. Я считаю, что смогу принести пользу вашему проекту",1
Просто хочу попробовать. Интересуюсь всем.,0
Учусь в универе. Ищу подработку.,0
Я студент. Люблю учиться.,0
"Имею опыт работы в международных медицинских стартапах, владею английской медицинской терминологией. Быстро осваиваю новые технологические решения.",1
" Обучаюсь в Высшей школе экономики на направлении менеджмента, специализируюсь на стратегическом управлении инновационными проектами. Имею опыт организации студенческих мероприятий и проектного управления.",1
Мне нужны деньги.,0
"Меня стоит выбрать, потому что я целеустремлённая, быстро учусь и умею адаптироваться к новым задачам, при этом обладаю аналитическим складом ума и креативностью. Мои сильные стороны — организованность, умение работать в команде и постоянное стремление к саморазвитию, а слабость — склонность перфекционизировать, которую я использую как стимул для качественного выполнения работы. Работала бизнес-ассистентом в строительной компании: разрабатывала сайты, вела VK-сообщества, оформляла деловые документы, готовила презентации и коммерческие предложения. Также была личным ассистентом технологического предпринимателя: планировала задачи, структурировала информацию, работала с Notion и финансовыми метриками, организовывала личные и рабочие процессы.",1
Хочу работать. Ищу возможности.,0
Магистрант факультета журналистики МГУ с опытом работы в digital-маркетинге. Создаю контент-стратегии для социальных медиа и веду блог о современных коммуникационных технологиях.,1
Потому что я классный.,0
Я активный.,0
"Не важно, что я умею, главное - моё желание.",0
"Обучаюсь в Бауманском университете по направлению космической техники, мечтаю работать в области освоения космоса. Участвую в студенческих космических проектах и научных исследованиях.",1
"Легко коммуницирую, хорошо разбираюсь в платформе тг, веду личный блог",0
"Меня зовут Name_2, мне 18 лет , учусь на 1 курсе в Финансовом университете при правительстве РФ на направление «Управление бизнесом».Я очень ответственная,внимательная,работоспособная, коммуникабельная.",0
Потому что я хороший.,0
Ищу работу. Готов стараться.,0
"Обладаю системным мышлением и навыками тайм-менеджмента, умею эффективно распределять приоритеты. Имею опыт работы в проектных командах и successfully реализовал несколько стартап-проектов.",1
